"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990-01","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","38.975","","","","3"
"1990-01","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","7.239","","","","3"
"1990-01","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","3.197","","","","3"
"1990-01","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.329","","","","3"
"1990-01","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","2.926","","","","3"
"1990-01","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","0.787","","","","3"
"1990-01","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","6.257","","","","3"
"1990-01","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","14.759","","","","3"
"1990-01","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","4.995","","","","3"
"1990-01","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","2.452","","","","3"
"1990-01","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.438","","","","3"
"1990-01","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","2.105","","","","3"
"1990-01","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","5.725","","","","3"
"1990-02","Canada","2016A000011124","Units","300","thousands","3","v52300198","1","38.561","","","","3"
"1990-02","Atlantic provinces","2016A00011","Units","300","thousands","3","v52300199","2","8.865","","","","3"
"1990-02","Newfoundland and Labrador","2016A000210","Units","300","thousands","3","v52300200","3","4.551","","","","3"
"1990-02","Prince Edward Island","2016A000211","Units","300","thousands","3","v52300201","4","0.440","","","","3"
"1990-02","Nova Scotia","2016A000212","Units","300","thousands","3","v52300202","5","2.839","","","","3"
"1990-02","New Brunswick","2016A000213","Units","300","thousands","3","v52300203","6","1.035","","","","3"
"1990-02","Quebec","2016A000224","Units","300","thousands","3","v52300204","7","7.135","","","","3"
"1990-02","Ontario","2016A000235","Units","300","thousands","3","v52300205","8","12.945","","","","3"
"1990-02","Prairie provinces","2016A00014","Units","300","thousands","3","v52300206","9","3.752","","","","3"
"1990-02","Manitoba","2016A000246","Units","300","thousands","3","v52300207","10","1.383","","","","3"
"1990-02","Saskatchewan","2016A000247","Units","300","thousands","3","v52300208","11","0.417","","","","3"
"1990-02","Alberta","2016A000248","Units","300","thousands","3","v52300209","12","1.952","","","","3"
"1990-02","British Columbia","2016A000259","Units","300","thousands","3","v52300210","13","5.864","","","","3"
